"horizon","response","shock","irf","lower","upper"
11,"z","supply",-0.187922378823991,-0.000421581243630455,0.000128204924920446
12,"z","supply",-0.168274600268512,-0.0442577312927023,0.000178362896784442
13,"z","supply",-0.151700203146311,0.00611034088196185,0.0158134603237567
14,"z","supply",-0.138114007813063,-0.0768165884670259,0.000191383065777333
15,"z","supply",-0.127087984225869,-0.000400578073859645,0.000118872657565056
16,"z","supply",-0.116964069244822,-0.0421662606568249,0.000160203417967869
17,"z","supply",-0.10801662450131,0.00611319514187625,0.0158325844337118
18,"z","supply",-0.0998148159860767,-0.073389914123591,0.000163690081420211
19,"z","supply",-0.0923079386073617,-0.000380517126857278,0.000110775830790005
20,"z","supply",-0.0852369122765718,-0.039875115545218,0.000129212006970034
21,"z","supply",-0.0785905344246517,0.00611657955818253,0.0158439032886
22,"z","supply",-0.0723714376390237,-0.0700868463768423,0.000161949646884912
23,"z","supply",-0.0665827812605104,-0.000361737243471931,0.0001031506803194
24,"z","supply",-0.0612036283741157,-0.0382624527347403,0.000109252568045602
25,"z","supply",-0.0562173216815311,0.00611906915251936,0.0158544613892089
26,"z","supply",-0.0516230632218382,-0.0669289655580066,0.000172236661571118
27,"z","supply",-0.0473996073299311,-0.000343756763148742,9.62198087180113e-05
28,"z","supply",-0.0435251802542705,-0.0364584270838959,0.000113509815353678
29,"z","supply",-0.0399711133178343,0.00612079759035044,0.0158642408088418
30,"z","supply",-0.0367137836903533,-0.0639092965845934,0.000136081239906915
31,"z","supply",-0.0337282420646066,-0.000326672840504111,8.99412635911227e-05
32,"z","supply",-0.0309905952642981,-0.0346391510696227,9.59137098780835e-05
33,"z","supply",-0.0284783853910746,0.00611770203279665,0.0158731490160106
34,"z","supply",-0.0261717899091417,-0.0610224876033194,0.000104869792927329
35,"z","supply",-0.0240531317108647,-0.000310428870853792,8.2913972961115e-05
36,"z","supply",-0.0221063133563964,-0.0331365600658957,7.61165926035644e-05
37,"z","supply",-0.0203169165101007,0.00611441244220036,0.01589203319751
38,"z","supply",-0.0186719493914211,-0.058263794454837,7.50887152001591e-05
39,"z","supply",-0.017159748898501,-0.000295560609792562,7.5288497309974e-05
40,"z","supply",-0.0157696311429865,-0.0318002182878071,5.00546862372921e-05
41,"z","supply",-0.0144918169338672,0.00611135561426786,0.0159442990612912
42,"z","supply",-0.0133173195018977,-0.0558049356261098,7.83392121413088e-05
43,"z","supply",-0.0122378779957708,-0.000284358279112938,6.84315264186662e-05
44,"z","supply",-0.0112458699697945,-0.0306044042816753,3.6548287052415e-05
45,"z","supply",-0.0103342584929976,0.00610851603479587,0.0159941395778726
46,"z","supply",-0.0094965548497243,-0.0531433238281037,6.8193138122812e-05
47,"z","supply",-0.00872678070191788,-0.000273153916550488,6.29785412582328e-05
48,"z","supply",-0.0080194320989693,-0.0294138710315295,2.02139293817764e-05
