horizon	z	c	i	y	k	l	r	w	case
22	0.717128646044191	0.945592358946678	1.61214433261175	1.10383851096788	1.01713996499641	0.0791230760106021	0.101955068218015	1.02471543495728	phi_0
23	0.706371716353529	0.948263106297868	1.56210773550563	1.09399600387957	1.03076415925914	0.0728664487908496	0.0768560388831532	1.02112955508872	phi_0
24	0.695776140608226	0.950112702159915	1.51401985322002	1.08398993946195	1.04284555160817	0.066938618651019	0.0532257802028091	1.01705132081093	phi_0
25	0.685339498499102	0.951189661688158	1.4677959287139	1.07383719270866	1.05346931103581	0.0613237655102495	0.0309916411004907	1.01251342719841	phi_0
26	0.675059406021616	0.951540094800626	1.42335504954502	1.06355371715002	1.06271645449854	0.0560068111746944	0.0100844061142058	1.00754690597532	phi_0
27	0.664933514931291	0.951207819997059	1.38061997094966	1.05315458964768	1.07066404240982	0.0509733848253088	-0.0095618648508633	1.00218120482237	phi_0
28	0.654959512207322	0.950234472867915	1.33951694710273	1.04265405308194	1.07738536502714	0.0462097901070103	-0.0280099893278822	0.996444262974925	phi_0
29	0.645135119524212	0.94865960954001	1.29997557017917	1.03206555702988	1.08295012015594	0.0417029737449367	-0.0453198079972568	0.990362583284947	phi_0
30	0.635458092731349	0.94652080529394	1.26192861685568	1.02140179652802	1.08742458257343	0.0374404956170408	-0.0615483236279195	0.983961300910981	phi_0
31	0.625926221340379	0.943853748577559	1.22531190190792	1.01067474900851	1.0908717655568	0.0334105002154739	-0.0767498335649281	0.977264248793033	phi_0
32	0.616537328020273	0.940692330629381	1.1900641385748	0.999895709494119	1.09335157488225	0.0296016894323693	-0.0909760560626773	0.97029402006175	phi_0
33	0.607289268099969	0.93706873091585	1.1561268053766	0.989075324133151	1.09492095564461	0.0260032966086507	-0.104276250749095	0.963072027524501	phi_0
34	0.598179929078469	0.933013498576965	1.12344401908799	0.978223622151525	1.09563403223069	0.0226050617872798	-0.116697333493081	0.955618560364245	phi_0
35	0.589207230142292	0.928555630065732	1.09196241358076	0.967350046295917	1.09554224176444	0.0193972081150927	-0.128283985934773	0.947952838180825	phi_0
36	0.580369121690158	0.923722643158299	1.06163102426501	0.956463481838308	1.09469446132696	0.0163704193400048	-0.139078759926133	0.940093062498304	phi_0
